created_at;author.username;text
21-08-2016 12:05;cristianchillan;#NOMasAFP #Chillan  mucha gente en las calles https://t.co/ZHK47AmjSS
21-08-2016 12:02;AGutierrezVas;Somos miles y miles!!!! #NOMasAFP @sidarte_chile https://t.co/OudoHORd5n
21-08-2016 11:59;caropinoc;Muchos muchos?????? #NOMasAFP
21-08-2016 11:55;ClaudiaDides;Somos Miles marchando  #NOMasAFP https://t.co/eRN0jNuLl2
21-08-2016 11:46;JotaPeSaCS;#NOMasAFP marchando en #iquique https://t.co/iZ2vwW6PW1
21-08-2016 11:45;angezablach;Somos muchos! #NoMasAFP
21-08-2016 11:44;ValpoCoordina;Somos miles #YoMarchoel21 #NOmasAFP https://t.co/6hxprttztA
21-08-2016 11:42;marcelmartinezw;Somos millones de norte a sur  #NOMasAFP https://t.co/Ea0FsrNjfh
21-08-2016 11:35;kekito1979;No mas AFP Quillota https://t.co/Fy6lBkVx7k
21-08-2016 11:25;carolinafloyd;Marchando #NoMasAFP https://t.co/YmNwc9GX0A
21-08-2016 11:21;buhoazul2010;#nomasafp  SOMOS MAS https://t.co/7vXwIrZpxU
21-08-2016 11:20;fpairo;Muuuuuuuuuucha gente loco !!!! #NoMásAFP https://t.co/w4QkdsQ15a
21-08-2016 11:11;menosigualmas;Somos muchos... #NOMasAFP https://t.co/7C99Axsvl7
21-08-2016 11:10;NoeliaBravo;Hay que puro moverse\n#NoMásAFP https://t.co/sF0RpVR7YM
21-08-2016 9:14;CieloAustralCoq;Tod@s marchamos!! @derogarDL3500  #NOMasAFP @chileconvoca @Chileokulto @MovAutonomista @TodosPescamos @Patiperros_20 https://t.co/FuGvrT856f
21-08-2016 0:01;lramirez;The latest Resonancias y latidos! https://t.co/HoiIEQMI6o Thanks to @Rangersdetalca_ #nomasafp #lugaresquehablan
20-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/IlWTGJGLeL Thanks to @SindicatoCDF @Marccella85 @jaran_13 #nomasafp #nomasafps
20-08-2016 20:30;mariela2770;The latest Libertad para Expresarse! https://t.co/oCAkAWtZOI Thanks to @CPMemoria @Marco_Cerdio @NolbertoDiaz #perunews #nomasafp
